Cluster Index	Z	x	y	z	
3	3.76	-4.5	47.5	-6.5
3	3.64	-8.5	45.5	-4.5
3	3.43	5.5	37.5	-8.5
3	3.34	11.5	49.5	-14.5
3	3.33	3.5	53.5	3.5
3	3.26	19.5	59.5	3.5
2	3.77	-38.5	31.5	-0.5
2	3.15	-34.5	39.5	5.5
2	3.07	-46.5	31.5	-8.5
2	3.01	-46.5	45.5	1.5
2	2.84	-42.5	31.5	-4.5
2	2.8	-38.5	37.5	-10.5
1	3.24	-44.5	-30.5	51.5
1	3.15	-46.5	-36.5	57.5
1	3.15	-40.5	-30.5	39.5
1	3.12	-60.5	-26.5	43.5
1	3.08	-40.5	-30.5	43.5
1	3	-52.5	-32.5	57.5
