Cluster Index	Z	x	y	z	
3	4.46	41.5	5.5	-8.5
3	4.36	39.5	-10.5	15.5
3	4.35	35.5	-8.5	5.5
3	4.18	33.5	-0.5	-6.5
3	3.96	31.5	-6.5	-4.5
3	3.94	43.5	-4.5	-4.5
2	3.85	-50.5	-8.5	5.5
2	3.65	-48.5	-2.5	-6.5
2	3.6	-40.5	-12.5	-4.5
2	3.39	-40.5	7.5	-2.5
2	3.21	-46.5	-8.5	-2.5
1	3.98	-14.5	-38.5	-10.5
1	3.27	-16.5	-30.5	-6.5
1	3.14	-2.5	-32.5	-12.5
1	3.02	-20.5	-40.5	-14.5
1	2.83	-6.5	-34.5	-6.5
1	2.81	7.5	-36.5	-4.5
