Cluster Index	Z	x	y	z	
4	3.59	-34.5	-24.5	-0.5
4	3.56	-44.5	-22.5	1.5
4	3.4	-64.5	-32.5	15.5
4	3.3	-56.5	-30.5	13.5
4	3.25	-46.5	-16.5	5.5
4	3.07	-38.5	-38.5	1.5
3	4.16	-4.5	-66.5	33.5
3	3.45	-0.5	-68.5	29.5
3	3.41	1.5	-70.5	43.5
3	3.35	1.5	-68.5	49.5
3	3.11	-4.5	-78.5	35.5
3	3.04	5.5	-68.5	37.5
2	4.3	1.5	-40.5	31.5
2	2.49	-10.5	-42.5	33.5
1	3.72	-58.5	-32.5	27.5
1	3.52	-60.5	-30.5	35.5
1	3.45	-58.5	-16.5	31.5
1	3.25	-66.5	-24.5	33.5
1	3.22	-58.5	-24.5	25.5
1	3.2	-54.5	-24.5	29.5
