Cluster Index	Z	x	y	z	
3	5.4	13.5	-68.5	47.5
3	5.03	41.5	-60.5	47.5
3	5.01	-48.5	9.5	3.5
3	4.95	23.5	35.5	1.5
3	4.93	11.5	-64.5	47.5
3	4.89	57.5	-48.5	35.5
2	3.72	59.5	-48.5	-12.5
2	3.7	55.5	-42.5	-6.5
2	3.32	59.5	-42.5	-6.5
2	3.3	55.5	-52.5	5.5
2	3.17	51.5	-46.5	3.5
2	3.14	59.5	-44.5	3.5
1	4.53	-52.5	-20.5	-12.5
1	3.89	-54.5	-12.5	-10.5
1	3.51	-44.5	-14.5	-12.5
1	3.47	-42.5	-6.5	-4.5
1	2.79	-42.5	-0.5	-6.5
1	2.57	-56.5	-4.5	-6.5
